State,State ANSI,Zip Code,Value
MINNESOTA,27,55001,38
MINNESOTA,27,55003,1
MINNESOTA,27,55005,12
MINNESOTA,27,55006,80
MINNESOTA,27,55007,88
MINNESOTA,27,55008,210
MINNESOTA,27,55009,252
MINNESOTA,27,55010,1
MINNESOTA,27,55011,60
MINNESOTA,27,55012,67
MINNESOTA,27,55013,60
MINNESOTA,27,55014,32
MINNESOTA,27,55016,31
MINNESOTA,27,55017,29
MINNESOTA,27,55018,93
MINNESOTA,27,55019,44
MINNESOTA,27,55020,68
MINNESOTA,27,55021,382
MINNESOTA,27,55024,163
MINNESOTA,27,55025,84
MINNESOTA,27,55026,3
MINNESOTA,27,55027,215
MINNESOTA,27,55030,32
MINNESOTA,27,55031,82
MINNESOTA,27,55032,114
MINNESOTA,27,55033,275
MINNESOTA,27,55037,135
MINNESOTA,27,55038,116
MINNESOTA,27,55040,201
MINNESOTA,27,55041,235
MINNESOTA,27,55042,54
MINNESOTA,27,55043,3
MINNESOTA,27,55044,162
MINNESOTA,27,55045,112
MINNESOTA,27,55046,124
MINNESOTA,27,55047,37
MINNESOTA,27,55049,88
MINNESOTA,27,55051,246
MINNESOTA,27,55052,92
MINNESOTA,27,55053,89
MINNESOTA,27,55054,5
MINNESOTA,27,55055,4
MINNESOTA,27,55056,175
MINNESOTA,27,55057,279
MINNESOTA,27,55060,401
MINNESOTA,27,55063,162
MINNESOTA,27,55065,72
MINNESOTA,27,55066,183
MINNESOTA,27,55068,43
MINNESOTA,27,55069,96
MINNESOTA,27,55070,16
MINNESOTA,27,55071,6
MINNESOTA,27,55072,58
MINNESOTA,27,55073,46
MINNESOTA,27,55074,92
MINNESOTA,27,55075,6
MINNESOTA,27,55076,30
MINNESOTA,27,55077,21
MINNESOTA,27,55079,89
MINNESOTA,27,55080,110
MINNESOTA,27,55082,132
MINNESOTA,27,55084,35
MINNESOTA,27,55085,5
MINNESOTA,27,55087,2
MINNESOTA,27,55088,83
MINNESOTA,27,55089,85
MINNESOTA,27,55090,1
MINNESOTA,27,55092,25
MINNESOTA,27,55101,18
MINNESOTA,27,55102,2
MINNESOTA,27,55103,11
MINNESOTA,27,55104,32
MINNESOTA,27,55105,12
MINNESOTA,27,55106,20
MINNESOTA,27,55107,1
MINNESOTA,27,55108,16
MINNESOTA,27,55109,18
MINNESOTA,27,55110,30
MINNESOTA,27,55112,25
MINNESOTA,27,55113,36
MINNESOTA,27,55115,9
MINNESOTA,27,55116,16
MINNESOTA,27,55117,7
MINNESOTA,27,55118,35
MINNESOTA,27,55119,28
MINNESOTA,27,55120,2
MINNESOTA,27,55121,14
MINNESOTA,27,55122,16
MINNESOTA,27,55123,18
MINNESOTA,27,55124,26
MINNESOTA,27,55125,17
MINNESOTA,27,55126,17
MINNESOTA,27,55127,22
MINNESOTA,27,55128,20
MINNESOTA,27,55129,20
MINNESOTA,27,55130,1
MINNESOTA,27,55155,21
MINNESOTA,27,55301,26
MINNESOTA,27,55302,98
MINNESOTA,27,55303,109
MINNESOTA,27,55304,97
MINNESOTA,27,55305,18
MINNESOTA,27,55306,8
MINNESOTA,27,55307,130
MINNESOTA,27,55308,87
MINNESOTA,27,55309,75
MINNESOTA,27,55310,83
MINNESOTA,27,55311,49
MINNESOTA,27,55312,92
MINNESOTA,27,55313,270
MINNESOTA,27,55314,67
MINNESOTA,27,55315,48
MINNESOTA,27,55316,23
MINNESOTA,27,55317,32
MINNESOTA,27,55318,71
MINNESOTA,27,55319,84
MINNESOTA,27,55320,119
MINNESOTA,27,55321,116
MINNESOTA,27,55322,98
MINNESOTA,27,55324,69
MINNESOTA,27,55325,154
MINNESOTA,27,55327,53
MINNESOTA,27,55328,162
MINNESOTA,27,55329,97
MINNESOTA,27,55330,203
MINNESOTA,27,55331,38
MINNESOTA,27,55332,117
MINNESOTA,27,55333,57
MINNESOTA,27,55334,95
MINNESOTA,27,55335,120
MINNESOTA,27,55336,223
MINNESOTA,27,55337,36
MINNESOTA,27,55338,78
MINNESOTA,27,55339,34
MINNESOTA,27,55340,84
MINNESOTA,27,55341,16
MINNESOTA,27,55342,137
MINNESOTA,27,55343,21
MINNESOTA,27,55344,8
MINNESOTA,27,55345,36
MINNESOTA,27,55346,16
MINNESOTA,27,55347,36
MINNESOTA,27,55349,101
MINNESOTA,27,55350,302
MINNESOTA,27,55352,148
MINNESOTA,27,55353,152
MINNESOTA,27,55354,71
MINNESOTA,27,55355,229
MINNESOTA,27,55356,20
MINNESOTA,27,55357,52
MINNESOTA,27,55358,116
MINNESOTA,27,55359,125
MINNESOTA,27,55360,57
MINNESOTA,27,55362,161
MINNESOTA,27,55363,53
MINNESOTA,27,55364,37
MINNESOTA,27,55366,1
MINNESOTA,27,55367,43
MINNESOTA,27,55368,60
MINNESOTA,27,55369,69
MINNESOTA,27,55370,38
MINNESOTA,27,55371,330
MINNESOTA,27,55372,149
MINNESOTA,27,55373,30
MINNESOTA,27,55374,94
MINNESOTA,27,55375,8
MINNESOTA,27,55376,69
MINNESOTA,27,55377,1
MINNESOTA,27,55378,29
MINNESOTA,27,55379,75
MINNESOTA,27,55381,90
MINNESOTA,27,55382,120
MINNESOTA,27,55385,96
MINNESOTA,27,55386,17
MINNESOTA,27,55387,109
MINNESOTA,27,55388,85
MINNESOTA,27,55389,152
MINNESOTA,27,55390,78
MINNESOTA,27,55391,29
MINNESOTA,27,55395,51
MINNESOTA,27,55396,120
MINNESOTA,27,55397,60
MINNESOTA,27,55398,110
MINNESOTA,27,55401,6
MINNESOTA,27,55403,4
MINNESOTA,27,55404,11
MINNESOTA,27,55405,6
MINNESOTA,27,55406,21
MINNESOTA,27,55407,2
MINNESOTA,27,55408,11
MINNESOTA,27,55409,7
MINNESOTA,27,55410,13
MINNESOTA,27,55411,1
MINNESOTA,27,55412,5
MINNESOTA,27,55413,4
MINNESOTA,27,55414,3
MINNESOTA,27,55415,2
MINNESOTA,27,55416,28
MINNESOTA,27,55417,12
MINNESOTA,27,55418,15
MINNESOTA,27,55419,19
MINNESOTA,27,55420,15
MINNESOTA,27,55421,17
MINNESOTA,27,55422,15
MINNESOTA,27,55423,11
MINNESOTA,27,55424,11
MINNESOTA,27,55425,11
MINNESOTA,27,55426,11
MINNESOTA,27,55427,28
MINNESOTA,27,55428,25
MINNESOTA,27,55429,2
MINNESOTA,27,55430,3
MINNESOTA,27,55431,16
MINNESOTA,27,55432,12
MINNESOTA,27,55433,6
MINNESOTA,27,55434,14
MINNESOTA,27,55435,8
MINNESOTA,27,55436,21
MINNESOTA,27,55437,19
MINNESOTA,27,55438,21
MINNESOTA,27,55439,8
MINNESOTA,27,55441,15
MINNESOTA,27,55442,11
MINNESOTA,27,55443,19
MINNESOTA,27,55444,5
MINNESOTA,27,55445,12
MINNESOTA,27,55446,31
MINNESOTA,27,55447,25
MINNESOTA,27,55448,6
MINNESOTA,27,55449,24
MINNESOTA,27,55455,1
MINNESOTA,27,55602,1
MINNESOTA,27,55603,3
MINNESOTA,27,55604,21
MINNESOTA,27,55606,1
MINNESOTA,27,55612,5
MINNESOTA,27,55614,14
MINNESOTA,27,55616,41
MINNESOTA,27,55702,5
MINNESOTA,27,55703,22
MINNESOTA,27,55704,60
MINNESOTA,27,55705,30
MINNESOTA,27,55706,3
MINNESOTA,27,55707,80
MINNESOTA,27,55709,48
MINNESOTA,27,55710,7
MINNESOTA,27,55711,18
MINNESOTA,27,55712,14
MINNESOTA,27,55713,3
MINNESOTA,27,55717,4
MINNESOTA,27,55718,46
